locker_source_index,source_file,name,code,address,district,x_32635,y_32635,lon,lat,google_maps_coordinate_link
0,Pudo,Elite Concept - 2,L1340900,Fikirtepe Mh.  Rüzgar Sk.  N: 44/A Blok Altı,Fikirtepe,672829.7273548609,4540366.653742267,29.054832000000005,40.99618100000001,"https://www.google.com/maps?q=40.9961810,29.0548320"
1,Pudo,Business İstanbul,L0340902,Merdivenköy Mh. Yumurtacı Abdi Bey Cd  Dikyol Sk. N:2/A  34732,Merdivenköy,673941.7376976571,4539994.016337712,29.06794,40.992589999999986,"https://www.google.com/maps?q=40.9925900,29.0679400"
2,Pudo,Koşuyolu Yeditepe Üniversitesi Hastanesi,L1342086,Koşuyolu Mah. Koşuyolu Cad. No: 168 ,Koşuyolu,670765.9754509252,4541194.6747336835,29.030539,41.004070000000006,"https://www.google.com/maps?q=41.0040700,29.0305390"
3,Pudo,Onpark - Rıhtım,L1341686,Osmanağa Mah. Rıhtım Cad. Yoğurtçu Şükrü Sok. No:2,Osmanağa,670373.8066954921,4539876.329665787,29.0255151,40.99228349999999,"https://www.google.com/maps?q=40.9922835,29.0255151"
4,Pudo,Total - Kozyatağı,L1341659,Sahrayı Cedit Mah. Halk Sok. No: 39B ,Kozyatağı,675964.6004242689,4539046.522436428,29.0917043,40.983626599999994,"https://www.google.com/maps?q=40.9836266,29.0917043"
5,Pudo,Tepe Nautilus Alışveriş Merkezi - Alt Otopark,L0340593,Acıbadem Mah. Fatih  Cd.  N:1,Acıbadem,670850.2249179005,4540774.532964359,29.031424,41.000269999999986,"https://www.google.com/maps?q=41.0002700,29.0314240"
6,Pudo,Optimist Residence,L1340408,Fikirtepe Mh. Yıldırım Sk. N:40,Fikirtepe,672641.9924699938,4540265.263864964,29.052573000000002,40.99530800000001,"https://www.google.com/maps?q=40.9953080,29.0525730"
7,Pudo,Fortis Sinanlı,L1340089,Fikirtepe Mh. Hızırbey Cad,Fikirtepe,672344.7226058053,4540021.901453595,29.048973000000004,40.99318,"https://www.google.com/maps?q=40.9931800,29.0489730"
8,Pudo,Onpark - Moda,L1341687,Caferağa Mah. Şair Nef'i Sok. No:34,Caferağa,670419.3451613826,4538760.155465125,29.025748499999995,40.98222549999999,"https://www.google.com/maps?q=40.9822255,29.0257485"
9,Pudo,Yeni Fikirtepe Konutları 1,L1340116,"Dumlupınar Mah., Çeşme Sk., No:24-A",Dumlupınar,673480.3938534432,4539874.932542141,29.062425200000003,40.991616199999996,"https://www.google.com/maps?q=40.9916162,29.0624252"
10,Pudo,Brooklyn Park,L1340258,Merdivenköy Mh.  Seyhan Sk.  N: 13/A,Merdivenköy,673787.7237980488,4539616.580197683,29.066004,40.98922499999998,"https://www.google.com/maps?q=40.9892250,29.0660040"
11,Pudo,Mandarins,L1340750,Fikirtepe Mh. Mandıra Cd. Erdemler Sk. N:11,Fikirtepe,672328.9151988783,4540354.772147139,29.048878,40.99617999999999,"https://www.google.com/maps?q=40.9961800,29.0488780"
12,Pudo,Koşuyolu Elysium Elite,L0340654,Acıbadem Mh. Şeyh Galip Sk. N:2,Acıbadem,671392.2285641268,4541395.994948674,29.038037,41.00575099999999,"https://www.google.com/maps?q=41.0057510,29.0380370"
13,Pudo,Kaya Sitesi,L0340074,Bostancı Mh. Armağan Sk. N:4,Bostancı,677364.3545289309,4536421.094213617,29.107580000000002,40.959689000000004,"https://www.google.com/maps?q=40.9596890,29.1075800"
14,Pudo,Kent Plus,L1340080,Eğitim Mh. Abdibey Sk. A Blok 24 A,Eğitim,672072.8188427316,4539884.117357642,29.045704000000004,40.99199699999999,"https://www.google.com/maps?q=40.9919970,29.0457040"
15,Pudo,Yenitepe Kadıköy Toplu Yapı Sitesi,L0340070,Dumlupınar Mah. Yumurtacı Abdi Bey Cd.Si A Blok N:4,Dumlupınar,672903.6079213831,4540324.293861373,29.055698,40.99578399999999,"https://www.google.com/maps?q=40.9957840,29.0556980"
16,Pudo,Kentplus Çarşı,L1341499,Eğitim Mh.  Abdi Bey Sk.,Eğitim,672022.2186631938,4539780.627059787,29.045074,40.99107599999999,"https://www.google.com/maps?q=40.9910760,29.0450740"
17,EasyPoint,Easy Point Express - Ali Gür Kuaför,,"Feneryolu Mahallesi, Mustafa Mazhar Bey Sokağı 55/B, 34724 /",KADIKÖY,672816.0979028654,4538652.911309948,29.054191,40.980756,"https://www.google.com/maps?q=40.9807560,29.0541910"
