archive_index,chromosome,f1,f2,norm_f1,norm_f2,strength,raw_fitness,density,total_fitness
1,1094|1115|1314|2623|2641|4071|4736,0.7466931879593294,0.18953028237379302,0.8630276404955899,0.056769143870258436,72,0,0.49784383345872635,0.49784383345872635
2,1115|1313|2273|2693|3580|4215|4880,0.6443820341508305,0.24832894884447373,0.22096042817130399,0.36253715695812383,78,0,0.4963418305404536,0.4963418305404536
3,1115|1313|2273|2693|3505|4215|4880,0.6392513772678916,0.26062880654920395,0.18876231057029474,0.4264995438179374,78,0,0.4952987030866204,0.4952987030866204
4,963|1598|2273|2907|3505|4429|4880,0.6121131133147989,0.3480873264923803,0.01845253656171102,0.8813060806968831,77,0,0.49531862461010856,0.49531862461010856
5,963|1598|2273|2693|3505|4215|4880,0.613611351627539,0.31316611778027853,0.02785492976176274,0.6997069179361024,80,0,0.49214756505612434,0.49214756505612434
6,1115|1313|2273|2693|3505|4143|4880,0.6416049912212731,0.2592049857495938,0.2035327270271726,0.4190953137048775,78,0,0.4956467514389469,0.4956467514389469
7,1094|1115|1313|2623|2641|4071|4737,0.7545965217224975,0.182327982538934,0.9126260595192274,0.01931535380401571,71,0,0.49720357871945414,0.49720357871945414
8,1115|1313|2419|2693|3585|4143|4880,0.665203591258575,0.22278003057338014,0.35162887076793004,0.22967628705741042,85,0,0.49581317736263913,0.49581317736263913
9,1094|1115|1313|2623|2641|4071|4736,0.7494255298247255,0.18557046417299677,0.8801748141841553,0.03617708258515466,73,0,0.49785030765175947,0.49785030765175947
10,963|1598|2198|2907|3505|4429|4880,0.6103071445191507,0.3643685057311108,0.007118939910686169,0.9659723516409084,77,0,0.4960873809736323,0.4960873809736323
11,963|1598|2273|2907|3505|4215|4880,0.6115503830279576,0.3517423335098924,0.014921048027832168,0.9003130463416595,77,0,0.4960627623268963,0.4960627623268963
12,1115|1273|1313|2623|2641|4071|4736,0.7450612890235343,0.19536152014999875,0.8527864423319751,0.0870930626884242,72,0,0.49720357871945414,0.49720357871945414
13,1115|1273|1313|2623|2783|4071|4737,0.733147155424432,0.20384267391340644,0.7780177171003837,0.13119721828560843,75,0,0.4968480263630809,0.4968480263630809
