run_id,timestamp,run_label,run_note,k,population_size,archive_size,max_generations,beta,crossover_rate,mutation_rate,snapshot_interval,reference_nd_point_rows,ref_min_f1,ref_max_f1,ref_min_f2,ref_max_f2,initial_archive_size,initial_nd_count,initial_archive_min_f1,initial_archive_max_f1,initial_archive_min_f2,initial_archive_max_f2,initial_nd_min_f1,initial_nd_max_f1,initial_nd_min_f2,initial_nd_max_f2,final_archive_size,final_nd_count,final_archive_min_f1,final_archive_max_f1,final_archive_min_f2,final_archive_max_f2,final_nd_min_f1,final_nd_max_f1,final_nd_min_f2,final_nd_max_f2,runtime_seconds,initial_archive_csv,final_archive_csv
20260419_190357_run01,20260419_190357,run01,baseline,5,100,50,30,2.0,0.9,0.1,5,47,0.9275672473889132,1.359270591832582,0.4365321900512993,0.6622564073091837,50,3,1.166037966072963,2.4793910549177114,0.5544685290991263,0.9834289518888434,1.166037966072963,1.359270591832582,0.5544685290991263,0.6622564073091837,50,5,0.9275672473889132,1.141377979272153,0.4365321900512993,0.575337919721509,0.9275672473889132,1.1120502805298045,0.4365321900512993,0.5336586926736427,4.052503,D:\Projects\Location-Optimization-with-Genetic-Algorithm\output\20260419_190357_run01_initial_archive.csv,D:\Projects\Location-Optimization-with-Genetic-Algorithm\output\20260419_190357_run01_final_archive.csv
20260419_190446_run02,20260419_190446,run02,baseline,5,100,50,30,2.0,0.9,0.1,5,59,0.9569217672696164,1.1519617124744976,0.38390155082450333,0.8297958443791795,50,2,1.07276004892771,2.7826847652051385,0.5147309244462742,1.031228403157416,1.07276004892771,1.146896959531167,0.5147309244462742,0.8297958443791795,50,11,0.9569217672696164,1.119770665089209,0.38390155082450333,0.5368643677800631,0.9569217672696164,1.0709829296036486,0.38390155082450333,0.5179914098646005,3.9839297,D:\Projects\Location-Optimization-with-Genetic-Algorithm\output\20260419_190446_run02_initial_archive.csv,D:\Projects\Location-Optimization-with-Genetic-Algorithm\output\20260419_190446_run02_final_archive.csv
20260419_190457_run03,20260419_190457,run03,baseline,5,100,50,30,2.0,0.9,0.1,5,27,0.947988853381279,1.3443943445333273,0.4109931466304213,0.8028986064633926,50,5,1.155729884870112,4.05865575552471,0.5744265452770358,1.057610095229319,1.155729884870112,1.3443943445333273,0.5744265452770358,0.8028986064633926,50,2,0.947988853381279,1.190362694971738,0.4109931466304213,0.6587319055910031,0.947988853381279,0.9639968651693192,0.4109931466304213,0.4131945441554421,4.0113441,D:\Projects\Location-Optimization-with-Genetic-Algorithm\output\20260419_190457_run03_initial_archive.csv,D:\Projects\Location-Optimization-with-Genetic-Algorithm\output\20260419_190457_run03_final_archive.csv
20260419_190507_run04,20260419_190507,run04,baseline,5,100,50,30,2.0,0.9,0.1,5,45,0.9278013261823177,1.1644005242147333,0.4186366699093309,0.6763718959824704,50,2,1.1462215277297871,3.576026526253844,0.4774169988520537,1.1113182856516421,1.1462215277297871,1.1644005242147333,0.4774169988520537,0.6763718959824704,50,6,0.9278013261823177,1.0504886636383561,0.4186366699093309,0.5703171931684771,0.9278013261823177,1.0112378987784831,0.4186366699093309,0.4819483932466017,3.8739492,D:\Projects\Location-Optimization-with-Genetic-Algorithm\output\20260419_190507_run04_initial_archive.csv,D:\Projects\Location-Optimization-with-Genetic-Algorithm\output\20260419_190507_run04_final_archive.csv
20260419_190522_run05,20260419_190522,run05,baseline,5,100,50,30,2.0,0.9,0.1,5,125,0.952123327584235,1.3942982840613882,0.3871907083667629,0.6769581355455835,50,4,1.1461411009678955,2.972752776704428,0.6091771074502005,0.927352714235345,1.1461411009678955,1.3942982840613882,0.6091771074502005,0.6769581355455835,50,28,0.952123327584235,1.282084300899792,0.3871907083667629,0.5372327165370336,0.952123327584235,1.282084300899792,0.3871907083667629,0.5289915647941944,3.8851678,D:\Projects\Location-Optimization-with-Genetic-Algorithm\output\20260419_190522_run05_initial_archive.csv,D:\Projects\Location-Optimization-with-Genetic-Algorithm\output\20260419_190522_run05_final_archive.csv
20260419_190531_run06,20260419_190531,run06,baseline,5,100,50,30,2.0,0.9,0.1,5,70,0.9408794400007888,1.3971903183842695,0.41754676175780614,0.6532341200501437,50,2,1.2570566063991988,2.766100337176888,0.5697637708052427,1.031528716300751,1.2570566063991988,1.267312967058449,0.5697637708052427,0.6532341200501437,50,13,0.9408794400007888,1.3833355127068565,0.41754676175780614,0.59743078941643,0.9408794400007888,1.2087870446738858,0.41754676175780614,0.5668483579818864,4.0610291,D:\Projects\Location-Optimization-with-Genetic-Algorithm\output\20260419_190531_run06_initial_archive.csv,D:\Projects\Location-Optimization-with-Genetic-Algorithm\output\20260419_190531_run06_final_archive.csv
20260419_190541_run07,20260419_190541,run07,baseline,5,100,50,30,2.0,0.9,0.1,5,52,0.9571703973420278,1.300278992676894,0.42358718042198495,0.748716778043157,50,2,1.1609736953228829,3.4062862451600293,0.5335506652506325,0.9998153829457852,1.1609736953228829,1.300278992676894,0.5335506652506325,0.748716778043157,50,10,0.9571703973420278,1.3343573489429557,0.42358718042198495,0.6130963291385372,0.9571703973420278,1.0590303812910997,0.42358718042198495,0.4950872482730826,4.1943702,D:\Projects\Location-Optimization-with-Genetic-Algorithm\output\20260419_190541_run07_initial_archive.csv,D:\Projects\Location-Optimization-with-Genetic-Algorithm\output\20260419_190541_run07_final_archive.csv
20260419_190603_run08,20260419_190603,run08,baseline,5,100,50,30,2.0,0.9,0.1,5,54,0.9814718295147606,1.4108015985802296,0.4011084801858721,0.6443028855878155,50,3,1.1831960547882627,3.4777682698580903,0.5372585478494124,1.0461594158319472,1.1831960547882627,1.4108015985802296,0.5372585478494124,0.6341658311469748,50,7,0.9814718295147606,1.2982271872625932,0.4011084801858721,0.5699030265073673,0.9814718295147606,1.133718152863421,0.4011084801858721,0.480580524082202,4.7295611,D:\Projects\Location-Optimization-with-Genetic-Algorithm\output\20260419_190603_run08_initial_archive.csv,D:\Projects\Location-Optimization-with-Genetic-Algorithm\output\20260419_190603_run08_final_archive.csv
20260419_190618_run09,20260419_190618,run09,baseline,5,100,50,30,2.0,0.9,0.1,5,47,0.9336075292834438,1.8020640807862562,0.39785030775461244,0.6177453555171621,50,2,1.2041418239550605,2.337143478897826,0.5534451425715377,1.007516498483546,1.2041418239550605,1.8020640807862562,0.5534451425715377,0.6177453555171621,50,9,0.9336075292834438,1.1301463683501058,0.39785030775461244,0.6400224754287198,0.9336075292834438,1.1301463683501058,0.39785030775461244,0.5377493085045892,4.8329495,D:\Projects\Location-Optimization-with-Genetic-Algorithm\output\20260419_190618_run09_initial_archive.csv,D:\Projects\Location-Optimization-with-Genetic-Algorithm\output\20260419_190618_run09_final_archive.csv
20260419_190631_run10,20260419_190631,run10,baseline,5,100,50,30,2.0,0.9,0.1,5,65,0.9451021350607495,1.8839244225078535,0.4401159056253124,0.7376834755045649,50,4,1.047567642198596,3.502687599112447,0.5263112546633023,0.9979274335264283,1.047567642198596,1.8839244225078535,0.5263112546633023,0.6217858885049978,50,7,0.9451021350607495,1.3019860449206537,0.4401159056253124,0.6226771893841107,0.9451021350607495,1.2310247889051782,0.4401159056253124,0.6226771893841107,4.6789709,D:\Projects\Location-Optimization-with-Genetic-Algorithm\output\20260419_190631_run10_initial_archive.csv,D:\Projects\Location-Optimization-with-Genetic-Algorithm\output\20260419_190631_run10_final_archive.csv
