K,Lambda,PopSize,ArchiveSize,MaxGen,MutRate,CrossRate,FunctionEvals,Runtime_ms,ND_Count,Best_f1,Best_f2,Mean_f1,Mean_f2,Final_HV
3,0.40,50,25,599,0.05,0.70,30000,12381,14,1.372605,0.447303,1.711178,0.484169,0.696060
3,0.40,50,25,599,0.05,0.70,30000,12540,6,1.377180,0.447227,1.424835,0.467863,0.905779
3,0.40,50,25,599,0.05,0.70,30000,12430,10,1.381958,0.447939,1.435272,0.499318,0.827917
3,0.40,50,25,599,0.10,0.70,30000,12686,19,1.374867,0.446384,1.422361,0.468772,0.966203
3,0.40,50,25,599,0.10,0.70,30000,12592,12,1.370869,0.441468,1.501709,0.460821,0.981483
3,0.40,50,25,599,0.10,0.70,30000,12682,17,1.374173,0.442170,1.445149,0.463350,0.956524
3,0.40,50,25,599,0.20,0.70,30000,13185,16,1.361433,0.441823,1.467557,0.463654,1.014129
3,0.40,50,25,599,0.20,0.70,30000,13290,16,1.366004,0.443999,1.438606,0.462456,1.023261
3,0.40,50,25,599,0.20,0.70,30000,13313,18,1.361769,0.446293,1.449229,0.467872,0.964461
3,0.40,50,25,599,0.30,0.70,30000,13432,25,1.364872,0.440950,1.568532,0.463848,0.945414
3,0.40,50,25,599,0.30,0.70,30000,13720,12,1.374413,0.443123,1.440034,0.456620,1.017492
3,0.40,50,25,599,0.30,0.70,30000,13615,25,1.363723,0.442283,1.427818,0.476002,0.978792
3,0.40,50,25,599,0.40,0.70,30000,13506,25,1.365645,0.441468,1.447056,0.464143,1.033699
3,0.40,50,25,599,0.40,0.70,30000,13468,25,1.370739,0.441827,1.424156,0.460041,1.042077
3,0.40,50,25,599,0.40,0.70,30000,13403,23,1.366054,0.442101,1.449096,0.463221,1.032844
3,0.40,50,25,599,0.05,0.90,30000,12634,12,1.377966,0.450546,1.451907,0.472937,0.820441
3,0.40,50,25,599,0.05,0.90,30000,12601,11,1.384483,0.449087,1.485310,0.481072,0.782948
3,0.40,50,25,599,0.05,0.90,30000,12829,15,1.369107,0.452596,1.449837,0.492309,0.803384
3,0.40,50,25,599,0.10,0.90,30000,13147,9,1.367227,0.445343,1.409328,0.474557,0.956849
3,0.40,50,25,599,0.10,0.90,30000,13232,14,1.364141,0.446704,1.418627,0.470760,0.983333
3,0.40,50,25,599,0.10,0.90,30000,13635,21,1.363302,0.446167,1.433702,0.474330,0.957327
3,0.40,50,25,599,0.20,0.90,30000,13589,20,1.367575,0.442382,1.453338,0.465897,0.977327
3,0.40,50,25,599,0.20,0.90,30000,13376,22,1.373733,0.440499,1.475025,0.458174,0.999939
3,0.40,50,25,599,0.20,0.90,30000,13658,17,1.362395,0.444980,1.419342,0.468692,0.988273
3,0.40,50,25,599,0.30,0.90,30000,13795,20,1.368050,0.445477,1.415710,0.465783,1.023985
3,0.40,50,25,599,0.30,0.90,30000,13629,21,1.361994,0.446541,1.393617,0.474590,1.018981
3,0.40,50,25,599,0.30,0.90,30000,13800,16,1.372270,0.441269,1.603529,0.453275,0.951258
3,0.40,50,25,599,0.40,0.90,30000,13779,25,1.364141,0.442560,1.400988,0.471549,1.028208
3,0.40,50,25,599,0.40,0.90,30000,13909,20,1.367671,0.443414,1.413495,0.466357,1.029280
3,0.40,50,25,599,0.40,0.90,30000,14371,17,1.366223,0.441796,1.413309,0.467665,1.018921
3,0.40,100,50,299,0.05,0.70,30000,12986,13,1.373084,0.445386,1.670598,0.468280,0.739452
3,0.40,100,50,299,0.05,0.70,30000,13004,16,1.390575,0.445670,1.586847,0.480396,0.594319
3,0.40,100,50,299,0.05,0.70,30000,12902,16,1.385087,0.441976,1.493907,0.465107,0.924529
3,0.40,100,50,299,0.10,0.70,30000,13046,17,1.368682,0.441830,1.455991,0.471342,0.896248
