Run_ID,Seed,K,Population_Size,Archive_Size,Max_Generations,Crossover_Rate,Mutation_Rate,Total_Evaluations,Final_HV,Final_HV_Ratio,Final_ND_Count,Final_Best_F1,Final_Best_F2,Runtime_ms
1,42,3,50,25,202,0.70,0.05,15200,1.209878,0.999900,8,1.375683,0.456693,4853
2,123,3,50,25,202,0.70,0.05,15200,1.209908,0.999924,6,1.396910,0.456433,4680
3,7,3,50,25,202,0.70,0.05,15200,1.208725,0.998946,8,1.448013,0.466432,4709
4,42,3,50,25,202,0.70,0.10,15200,1.209574,0.999648,7,1.364850,0.454822,4801
5,123,3,50,25,202,0.70,0.10,15200,1.209685,0.999740,10,1.400085,0.447473,4822
6,7,3,50,25,202,0.70,0.10,15200,1.209405,0.999508,8,1.380640,0.457063,4739
7,42,3,50,25,202,0.70,0.20,15200,1.209438,0.999536,18,1.362302,0.459203,4918
8,123,3,50,25,202,0.70,0.20,15200,1.209908,0.999924,11,1.372411,0.450618,4963
9,7,3,50,25,202,0.70,0.20,15200,1.209851,0.999877,10,1.379325,0.451238,5141
10,42,3,50,25,202,0.70,0.30,15200,1.209799,0.999834,14,1.381585,0.444955,5085
11,123,3,50,25,202,0.70,0.30,15200,1.209804,0.999838,15,1.371076,0.447113,5149
12,7,3,50,25,202,0.70,0.30,15200,1.209836,0.999864,19,1.364626,0.444179,5080
13,42,3,50,25,202,0.70,0.40,15200,1.209763,0.999804,17,1.365905,0.446159,5264
14,123,3,50,25,202,0.70,0.40,15200,1.209917,0.999931,9,1.361605,0.453880,5549
15,7,3,50,25,202,0.70,0.40,15200,1.209258,0.999387,11,1.374725,0.449038,5391
16,42,3,50,25,202,0.90,0.05,15200,1.209693,0.999746,4,1.407120,0.464054,4912
17,123,3,50,25,202,0.90,0.05,15200,1.209800,0.999834,4,1.391099,0.455725,4733
18,7,3,50,25,202,0.90,0.05,15200,1.205966,0.996666,19,1.382458,0.476528,4621
19,42,3,50,25,202,0.90,0.10,15200,1.209832,0.999862,4,1.376132,0.453599,4866
20,123,3,50,25,202,0.90,0.10,15200,1.209545,0.999624,11,1.401836,0.447042,4714
21,7,3,50,25,202,0.90,0.10,15200,1.209503,0.999589,6,1.388756,0.468776,4824
22,42,3,50,25,202,0.90,0.20,15200,1.209231,0.999365,9,1.375971,0.447719,4942
23,123,3,50,25,202,0.90,0.20,15200,1.209575,0.999649,16,1.377119,0.442019,5075
24,7,3,50,25,202,0.90,0.20,15200,1.209283,0.999408,17,1.366275,0.451470,4920
25,42,3,50,25,202,0.90,0.30,15200,1.209760,0.999802,15,1.364724,0.451949,5518
26,123,3,50,25,202,0.90,0.30,15200,1.209759,0.999801,12,1.373421,0.452461,5411
27,7,3,50,25,202,0.90,0.30,15200,1.209805,0.999839,17,1.365287,0.449381,5320
28,42,3,50,25,202,0.90,0.40,15200,1.209732,0.999779,15,1.379949,0.441528,5487
29,123,3,50,25,202,0.90,0.40,15200,1.209665,0.999723,16,1.362302,0.450790,5496
30,7,3,50,25,202,0.90,0.40,15200,1.209854,0.999880,11,1.373558,0.444022,5558
31,42,3,100,50,100,0.70,0.05,15100,1.208926,0.999112,11,1.371997,0.446495,4979
32,123,3,100,50,100,0.70,0.05,15100,1.209852,0.999878,5,1.366437,0.459470,4784
33,7,3,100,50,100,0.70,0.05,15100,1.209693,0.999746,10,1.388876,0.451966,4760
34,42,3,100,50,100,0.70,0.10,15100,1.209378,0.999486,11,1.377869,0.452246,4808
35,123,3,100,50,100,0.70,0.10,15100,1.209830,0.999860,26,1.373915,0.444179,4712
36,7,3,100,50,100,0.70,0.10,15100,1.209735,0.999781,8,1.359262,0.450379,4708
37,42,3,100,50,100,0.70,0.20,15100,1.209530,0.999611,16,1.384631,0.441059,5880
38,123,3,100,50,100,0.70,0.20,15100,1.209591,0.999662,7,1.372027,0.446498,6512
39,7,3,100,50,100,0.70,0.20,15100,1.209671,0.999728,10,1.379965,0.449733,6485
40,42,3,100,50,100,0.70,0.30,15100,1.209790,0.999827,11,1.367319,0.446906,6787
41,123,3,100,50,100,0.70,0.30,15100,1.209939,0.999950,18,1.370041,0.453035,6660
42,7,3,100,50,100,0.70,0.30,15100,1.209814,0.999847,19,1.364485,0.460700,6466
43,42,3,100,50,100,0.70,0.40,15100,1.209775,0.999814,15,1.378852,0.441739,5337
44,123,3,100,50,100,0.70,0.40,15100,1.209902,0.999919,8,1.378474,0.441610,5332
45,7,3,100,50,100,0.70,0.40,15100,1.209554,0.999631,9,1.364334,0.440996,5366
46,42,3,100,50,100,0.90,0.05,15100,1.209838,0.999866,7,1.411790,0.473974,4820
47,123,3,100,50,100,0.90,0.05,15100,1.209801,0.999835,5,1.374044,0.452444,4762
48,7,3,100,50,100,0.90,0.05,15100,1.209647,0.999708,6,1.385036,0.445946,4773
49,42,3,100,50,100,0.90,0.10,15100,1.208860,0.999057,16,1.376028,0.455769,4833
50,123,3,100,50,100,0.90,0.10,15100,1.209774,0.999813,12,1.387882,0.457789,4894
51,7,3,100,50,100,0.90,0.10,15100,1.209784,0.999822,7,1.403508,0.453311,4890
52,42,3,100,50,100,0.90,0.20,15100,1.209755,0.999798,12,1.370129,0.447543,5089
53,123,3,100,50,100,0.90,0.20,15100,1.209798,0.999833,7,1.373417,0.447162,5064
54,7,3,100,50,100,0.90,0.20,15100,1.209879,0.999900,8,1.362710,0.458184,5026
55,42,3,100,50,100,0.90,0.30,15100,1.209007,0.999180,14,1.373566,0.445157,5228
56,123,3,100,50,100,0.90,0.30,15100,1.209744,0.999789,14,1.359651,0.442801,5247
57,7,3,100,50,100,0.90,0.30,15100,1.209674,0.999730,17,1.365793,0.445831,5247
58,42,3,100,50,100,0.90,0.40,15100,1.209868,0.999891,12,1.365300,0.443209,5468
59,123,3,100,50,100,0.90,0.40,15100,1.209838,0.999866,9,1.374416,0.443984,5397
60,7,3,100,50,100,0.90,0.40,15100,1.209881,0.999901,10,1.374911,0.443850,5443
61,42,3,200,100,50,0.70,0.05,15200,1.209820,0.999852,3,1.421042,0.456723,5060
62,123,3,200,100,50,0.70,0.05,15200,1.209692,0.999745,13,1.404696,0.461363,4974
63,7,3,200,100,50,0.70,0.05,15200,1.209424,0.999524,9,1.393427,0.451781,5089
64,42,3,200,100,50,0.70,0.10,15200,1.209939,0.999949,5,1.399751,0.481990,5300
65,123,3,200,100,50,0.70,0.10,15200,1.209687,0.999741,7,1.378453,0.452675,5168
66,7,3,200,100,50,0.70,0.10,15200,1.208940,0.999124,13,1.362801,0.450083,5150
67,42,3,200,100,50,0.70,0.20,15200,1.209502,0.999589,11,1.361245,0.450772,5389
68,123,3,200,100,50,0.70,0.20,15200,1.209655,0.999715,10,1.384205,0.446509,5346
69,7,3,200,100,50,0.70,0.20,15200,1.209731,0.999778,16,1.365702,0.454563,5389
70,42,3,200,100,50,0.70,0.30,15200,1.209788,0.999825,19,1.377950,0.445084,5496
71,123,3,200,100,50,0.70,0.30,15200,1.209706,0.999757,14,1.388294,0.443786,5476
72,7,3,200,100,50,0.70,0.30,15200,1.209833,0.999862,11,1.364173,0.447481,5538
73,42,3,200,100,50,0.70,0.40,15200,1.209677,0.999733,21,1.363250,0.443037,5797
74,123,3,200,100,50,0.70,0.40,15200,1.209828,0.999858,18,1.370924,0.447507,5681
75,7,3,200,100,50,0.70,0.40,15200,1.209494,0.999581,13,1.365464,0.443132,5681
76,42,3,200,100,50,0.90,0.05,15200,1.209329,0.999445,7,1.372232,0.451392,5131
77,123,3,200,100,50,0.90,0.05,15200,1.209697,0.999750,8,1.369578,0.445448,5190
78,7,3,200,100,50,0.90,0.05,15200,1.209701,0.999753,10,1.382113,0.449255,5062
79,42,3,200,100,50,0.90,0.10,15200,1.209698,0.999750,12,1.384662,0.447479,5124
80,123,3,200,100,50,0.90,0.10,15200,1.209646,0.999708,10,1.400000,0.444126,5230
81,7,3,200,100,50,0.90,0.10,15200,1.209456,0.999550,9,1.390909,0.448555,5097
82,42,3,200,100,50,0.90,0.20,15200,1.209297,0.999419,16,1.383227,0.440625,5396
83,123,3,200,100,50,0.90,0.20,15200,1.209263,0.999391,21,1.377150,0.451916,5377
84,7,3,200,100,50,0.90,0.20,15200,1.209545,0.999624,13,1.367928,0.445316,5345
85,42,3,200,100,50,0.90,0.30,15200,1.209833,0.999862,15,1.364881,0.445524,5493
86,123,3,200,100,50,0.90,0.30,15200,1.209814,0.999846,11,1.370548,0.442169,5501
87,7,3,200,100,50,0.90,0.30,15200,1.209723,0.999771,15,1.365085,0.443992,5487
88,42,3,200,100,50,0.90,0.40,15200,1.209879,0.999900,17,1.367267,0.445686,5625
89,123,3,200,100,50,0.90,0.40,15200,1.209908,0.999924,18,1.369956,0.448318,5562
90,7,3,200,100,50,0.90,0.40,15200,1.209907,0.999923,11,1.365157,0.448604,5815
91,42,5,50,25,202,0.70,0.05,15200,1.209520,0.999603,15,0.923358,0.419002,5689
92,123,5,50,25,202,0.70,0.05,15200,1.208560,0.998810,10,0.944735,0.385688,5736
93,7,5,50,25,202,0.70,0.05,15200,1.209516,0.999600,11,0.977159,0.417941,5658
94,42,5,50,25,202,0.70,0.10,15200,1.209731,0.999778,16,0.950042,0.403428,5845
95,123,5,50,25,202,0.70,0.10,15200,1.209645,0.999706,18,0.918503,0.422910,5783
96,7,5,50,25,202,0.70,0.10,15200,1.209181,0.999323,16,0.932767,0.413375,5808
97,42,5,50,25,202,0.70,0.20,15200,1.209543,0.999622,14,0.894147,0.398809,5981
98,123,5,50,25,202,0.70,0.20,15200,1.209298,0.999420,17,0.932348,0.390243,5942
