archive_index,chromosome,f1,f2,norm_f1,norm_f2,strength,raw_fitness,density,total_fitness
1,1091|1405|1671|2487|2561|2838|3262|4231|4507|4595,0.7132370418192401,0.4914936229711438,1.0,1.0,187,0,0.4635106941556261,0.4635106941556261
2,674|1040|1527|2350|2686|3781|4017|4291|4449|4944,0.5867271650692502,0.5432576539559552,1.0,1.0,194,0,0.469468651608663,0.469468651608663
3,819|1203|1392|1458|2985|3150|3630|4241|4384|4587,0.7909408888788093,0.47168069590011025,1.0,1.0,159,0,0.4600132199890032,0.4600132199890032
4,244|879|2057|2537|2924|3481|3660|4278|4305|4586,0.7188257856041775,0.5082396482875104,1.0,1.0,185,187,0.46729986319020395,187.4672998631902
5,1034|1530|1542|1909|3271|3712|4164|4575|5302|5457,0.6088587725794474,0.6689884329955491,1.0,1.0,171,194,0.4791351102240572,194.47913511022406
6,889|1018|1841|2110|2183|2699|4002|4378|4730|4738,0.6516107966534285,0.6524052182149735,1.0,1.0,175,194,0.48494533927072914,194.48494533927072
7,1117|1608|1671|2189|2703|3275|3771|4008|4294|4587,0.6890302114904612,0.6395686883507861,1.0,1.0,176,194,0.4862366991694347,194.48623669916944
8,752|1678|1685|2423|3418|3481|4210|4523|4581|4952,0.6310863681862531,0.7894790472308033,1.0,1.0,116,365,0.4776201210274668,365.4776201210275
9,811|894|1472|1599|2621|2632|3059|3564|4510|5386,0.6374428266974493,0.7003487175729987,1.0,1.0,158,365,0.48299149167149685,365.4829914916715
10,544|1385|1992|2046|2539|3996|4073|4385|5239|5380,0.7202937884706869,0.5427302776914092,1.0,1.0,182,372,0.47535598533170065,372.4753559853317
11,1131|1180|1806|1959|2253|3278|3294|5005|5314|5744,0.8195036960644444,0.5208756385650425,1.0,1.0,150,531,0.47061012068742014,531.4706101206874
12,528|1184|1737|1752|2207|3492|4020|4088|4432|5084,0.6756613083934866,0.6788313869102499,1.0,1.0,163,540,0.4859907477566048,540.4859907477567
13,1178|1987|2395|2787|2902|3854|3865|4214|4872|5032,0.6405651847505947,0.9451723496247777,1.0,1.0,57,639,0.4680583858001368,639.4680583858002
14,318|752|1848|1883|3200|3933|4748|4789|5085|5089,0.7666596355505922,0.5650320223235743,1.0,1.0,169,748,0.47959545945546667,748.4795954594555
15,533|879|1847|2832|3139|3785|3843|3845|5024|5305,0.7533978164454402,0.5983931371072625,1.0,1.0,171,748,0.4833147888248736,748.4833147888248
16,1185|1600|2261|3053|3222|3917|4304|4349|4747|5007,0.7227708543047634,0.6314344230102082,1.0,1.0,173,748,0.486206805501104,748.4862068055011
17,883|1601|1881|2486|3198|3359|4312|4729|5016|5602,0.7074720765450874,0.6966987111524157,1.0,1.0,155,879,0.4869977838724126,879.4869977838724
18,684|1399|1810|1840|3272|3657|3717|4012|4591|5033,0.7497630645412837,0.6346364610809168,1.0,1.0,169,921,0.4882315961744662,921.4882315961745
19,750|1023|1038|1377|2056|3201|3215|4599|4943|5032,0.6895186273787135,0.7564223022355804,1.0,1.0,126,1037,0.48452710418724476,1037.4845271041872
20,1378|1394|1452|2623|2918|3075|3143|4139|4593|4950,0.6895969759648856,0.7021921673497417,1.0,1.0,154,1037,0.48602124707515665,1037.486021247075
21,1028|1618|1894|2250|2570|2689|3000|3997|4294|4964,0.7149117615193318,0.6878250522147225,1.0,1.0,157,1066,0.48734375743333247,1066.4873437574333
22,604|1668|2626|3139|3214|3295|3788|4455|5230|5233,0.7787648384803817,0.630280337349654,1.0,1.0,158,1088,0.48653711751035805,1088.4865371175104
23,742|1117|1556|1815|1905|2248|3194|3342|4080|4878,0.7196325231972397,0.6759636434324,1.0,1.0,161,1088,0.48878145480989965,1088.48878145481
24,1163|1478|1759|1775|2405|2565|3430|4096|4431|4449,0.7397898543369469,0.6502879150694192,1.0,1.0,168,1097,0.4889887485038565,1097.4889887485037
25,233|1243|1560|2610|3129|3203|3850|3872|4159|5382,0.8281400469076757,0.5778178344076678,1.0,1.0,144,1226,0.4791713925898505,1226.47917139259
26,605|1301|1742|2278|2624|2627|2915|3709|4218|5674,0.803934725308458,0.6236736931869827,1.0,1.0,151,1247,0.48629137438549114,1247.4862913743855
27,874|900|1018|2396|2547|3341|3500|4077|4870|5028,0.7368272021104444,0.6684758341090776,1.0,1.0,162,1272,0.48945748781621384,1272.4894574878163
28,1167|1274|2770|3058|3489|3649|4382|4819|4962|5891,1.076561053322261,0.5903641527799818,1.0,1.0,54,1370,0.47046344531640893,1370.4704634453165
29,464|811|2116|2210|2574|2767|4022|4240|4569|5028,0.8647077872323778,0.6124488837008331,1.0,1.0,122,1541,0.4845289737495256,1541.4845289737495
30,955|1699|2695|3417|3490|3920|3941|4079|4441|5156,0.8486865628315509,0.6301061585911409,1.0,1.0,127,1692,0.4869020911698921,1692.48690209117
31,601|1171|1670|1776|2108|2645|2646|3482|4375|4790,0.8440263436402994,0.6381617873511609,1.0,1.0,130,2192,0.4874256909531343,2192.487425690953
32,1044|1242|1601|1826|1986|3556|4142|4804|5376|5672,0.7399599299745081,0.6927464277273766,1.0,1.0,155,2254,0.4889184347710988,2254.488918434771
33,1115|1443|1808|1895|3007|3074|3197|4356|4861|5103,0.8018628181064344,0.6601213178591668,1.0,1.0,144,2266,0.4885316885590456,2266.488531688559
34,830|1321|1331|1749|3078|3262|3487|4508|5390|5749,0.8054743907539959,0.6592056454372075,1.0,1.0,145,2417,0.4884165148406714,2417.4884165148405
35,1174|1200|1371|1954|2754|2827|3076|4077|4382|5598,0.9567104252742472,0.6458835392958588,1.0,1.0,95,2747,0.48386001085391117,2747.4838600108537
36,591|669|1017|1249|2191|2268|2640|3425|3660|5093,0.8297232717959304,0.6594253104531874,1.0,1.0,133,2856,0.48891502483965527,2856.4889150248396
